title,summary,category,tags,views,author_email,status,created_date
"Remote Desktop and Screen Sharing Guide","Instructions for using remote desktop tools for IT support sessions, self-service remote access, and security best practices for screen sharing.","IT Support","technical,security,network",178,admin@ekbms.com,approved,2023-10-15
"Antivirus and Endpoint Security Management","Overview of endpoint protection tools, scheduled scan configuration, threat response procedures, and reporting malware infections.","IT Support","technical,security",256,author@ekbms.com,approved,2023-10-22
"Browser Security Configuration Guide","Recommended browser settings, approved extensions, cookie management, and safe browsing practices for corporate workstations.","IT Support","technical,security",189,author@ekbms.com,approved,2023-11-01
"Email Archiving and Retention Policy","Legal holds, automatic archiving rules, retention schedules by email category, and retrieval procedures for archived correspondence.","IT Support","technical,policy,process",134,admin@ekbms.com,approved,2023-11-08
"System Maintenance and Downtime Schedule","Planned maintenance windows, change freeze periods, communication protocols for outages, and emergency maintenance approval procedures.","IT Support","technical,process",112,author@ekbms.com,approved,2023-11-15
"IT Asset Lifecycle Management Guide","Procurement, deployment, maintenance, and decommissioning procedures for IT hardware assets including tracking and inventory requirements.","IT Support","technical,process,policy",145,author@ekbms.com,approved,2023-11-22
"Server Provisioning and Maintenance Procedures","Standard operating procedures for provisioning new servers, patching cycles, performance monitoring, and decommissioning retired hardware.","Infrastructure","technical,process,network",267,author@ekbms.com,approved,2023-06-15
"Disaster Recovery and Business Continuity Planning","DR strategy overview including RTO/RPO targets, failover procedures, backup site activation, and annual DR test scheduling.","Infrastructure","technical,process,security",312,admin@ekbms.com,approved,2023-06-22
"Firewall Rules and Network Security Configuration","Standard firewall rule management process, change request procedures, rule review cycles, and documentation requirements for network security changes.","Infrastructure","technical,security,network",234,author@ekbms.com,approved,2023-07-05
"Load Balancing and High Availability Setup","Configuration guide for load balancers, health check parameters, failover thresholds, and traffic distribution algorithms used in production.","Infrastructure","technical,network",189,author@ekbms.com,approved,2023-07-20
"SSL Certificate Lifecycle Management","Certificate inventory management, renewal procedures, automated monitoring, and emergency replacement steps for expired certificates.","Infrastructure","technical,security,network",212,admin@ekbms.com,approved,2023-08-05
"Database Backup and Restoration Procedures","Daily and weekly backup schedules, off-site storage procedures, restoration testing protocols, and point-in-time recovery instructions.","Infrastructure","technical,process,security",256,author@ekbms.com,approved,2023-08-20
"Infrastructure Monitoring and Alerting Setup","Overview of monitoring tools, alert threshold configuration, on-call rotation procedures, and escalation matrix for critical infrastructure alerts.","Infrastructure","technical,network,process",198,author@ekbms.com,approved,2023-09-05
"DNS Management and Configuration Guide","Internal and external DNS management procedures, record type definitions, TTL guidelines, and change control processes for DNS modifications.","Infrastructure","technical,network",167,admin@ekbms.com,approved,2023-09-20
"IP Address Management and Subnetting Guide","IPAM tool usage, subnet allocation procedures, VLAN management, and documentation requirements for network addressing changes.","Infrastructure","technical,network",145,author@ekbms.com,approved,2023-10-05
"SAN and Storage Management Procedures","Storage area network configuration, volume provisioning, performance tuning guidelines, and capacity monitoring thresholds.","Infrastructure","technical,network,process",134,author@ekbms.com,approved,2023-10-20
"Container and Kubernetes Orchestration Guide","Docker and Kubernetes deployment standards, namespace management, resource quota policies, and cluster upgrade procedures.","Infrastructure","technical,network,process",223,admin@ekbms.com,approved,2023-11-05
"CI/CD Pipeline Setup and Configuration","Standard pipeline architecture, build stage definitions, automated testing integration, deployment gates, and rollback procedures.","Infrastructure","technical,process",289,author@ekbms.com,approved,2023-11-20
"API Gateway and Service Mesh Configuration","API gateway routing rules, rate limiting policies, service mesh observability configuration, and inter-service authentication standards.","Infrastructure","technical,network,security",198,author@ekbms.com,approved,2023-12-05
"Cloud Cost Optimization Strategies","Reserved instance purchasing strategies, rightsizing recommendations, unused resource cleanup procedures, and monthly cost review process.","Infrastructure","technical,process,finance",267,admin@ekbms.com,approved,2023-12-20
"Infrastructure Capacity Planning Guide","Annual capacity review process, growth projection methodology, procurement lead times, and demand forecasting for compute and storage resources.","Infrastructure","technical,process",178,author@ekbms.com,approved,2024-01-10
"New Manager Leadership Development Program","Comprehensive training curriculum for first-time managers covering team leadership, performance management, one-on-ones, and delegation skills.","Training Materials","training,onboarding,process",312,author@ekbms.com,approved,2023-06-10
"Diversity Equity and Inclusion Training Guide","Mandatory DEI training curriculum covering unconscious bias, inclusive language, allyship, and building equitable team environments.","Training Materials","training,policy,onboarding",276,admin@ekbms.com,approved,2023-06-25
"Customer Service Excellence Training","Service standards training covering active listening, empathy, complaint resolution, follow-through, and customer satisfaction measurement.","Training Materials","training,process",234,author@ekbms.com,approved,2023-07-10
"Project Management Fundamentals Course","Introduction to project management covering scope definition, WBS creation, scheduling, risk management, and stakeholder communication.","Training Materials","training,process",289,author@ekbms.com,approved,2023-07-25
"Business Communication Skills Workshop","Structured writing, email etiquette, executive presentations, meeting facilitation, and cross-functional communication best practices.","Training Materials","training,process",198,admin@ekbms.com,approved,2023-08-10
"Advanced Leadership and Mentoring Program","Senior leadership curriculum covering organizational design, change management, executive coaching, and mentoring program participation.","Training Materials","training,process",167,author@ekbms.com,approved,2023-08-25
"GDPR and Data Privacy Training","Mandatory training on GDPR obligations, personal data handling, breach notification procedures, and data subject request management.","Training Materials","training,security,policy",312,author@ekbms.com,approved,2023-09-10
"Agile and Scrum Methodology Training","Agile principles, Scrum ceremonies, sprint planning, retrospective facilitation, and transitioning teams from waterfall to agile delivery.","Training Materials","training,technical,process",256,admin@ekbms.com,approved,2023-09-25
"Microsoft Excel and Data Analysis Training","Intermediate Excel skills including pivot tables, VLOOKUP, data validation, conditional formatting, and dashboard creation for business reporting.","Training Materials","training,technical",189,author@ekbms.com,approved,2023-10-10
"Effective Presentation and Public Speaking Guide","Structuring impactful presentations, managing presentation anxiety, slide design principles, and handling Q&A sessions confidently.","Training Materials","training,process",145,author@ekbms.com,approved,2023-10-25
"Time Management and Productivity Workshop","Priority matrix usage, deep work techniques, calendar blocking, meeting reduction strategies, and tools for personal productivity management.","Training Materials","training,process",223,admin@ekbms.com,approved,2023-11-10
"Conflict Resolution and Negotiation Training","Conflict styles assessment, de-escalation techniques, principled negotiation framework, and mediation skills for workplace disputes.","Training Materials","training,process",178,author@ekbms.com,approved,2023-11-25
"Sales Fundamentals and Consultative Selling","Consultative sales methodology, needs discovery, value proposition articulation, objection handling, and closing techniques for enterprise sales.","Training Materials","training,process",134,author@ekbms.com,approved,2023-12-10
"Virtual Team Building Activities Guide","Remote-friendly team building exercises, virtual coffee chat programs, online collaboration games, and building team culture across time zones.","Training Materials","training,onboarding,process",198,admin@ekbms.com,approved,2023-12-25
"Regulatory Compliance and Ethics Training","Annual compliance training covering industry regulations, anti-bribery laws, insider trading rules, and ethical decision-making frameworks.","Training Materials","training,policy,security",267,author@ekbms.com,approved,2024-01-05
"Annual Budget Planning and Forecasting Guide","Comprehensive guide to the annual budget cycle including departmental submission process, zero-based budgeting approach, and executive review stages.","Finance","finance,process",198,author@ekbms.com,approved,2023-06-12
"Accounts Payable Invoice Processing Procedures","End-to-end invoice processing workflow from receipt through three-way match, approval routing, and payment execution in the ERP system.","Finance","finance,process",167,admin@ekbms.com,approved,2023-06-28
"Payroll Processing and Compensation Guide","Monthly payroll processing timeline, salary adjustment procedures, deduction management, and year-end compensation statement distribution.","Finance","finance,process,policy",234,author@ekbms.com,approved,2023-07-12
"Corporate Tax Filing Procedures","Tax filing calendar, required documentation, jurisdiction-specific requirements, external auditor coordination, and tax provision calculation.","Finance","finance,policy,process",145,author@ekbms.com,approved,2023-07-28
"Vendor Payment and Procurement Procedures","Approved vendor list management, new vendor onboarding, payment terms standardization, and early payment discount capture process.","Finance","finance,process",189,admin@ekbms.com,approved,2023-08-12
"Financial Reporting and GAAP Standards Guide","Monthly close procedures, GAAP compliance checklist, management reporting templates, and variance analysis documentation requirements.","Finance","finance,process,policy",156,author@ekbms.com,approved,2023-08-28
"Capital Expenditure Request and Approval Process","CapEx vs OpEx classification guide, business case requirements, approval thresholds by level, and asset capitalization procedures.","Finance","finance,process,policy",134,author@ekbms.com,approved,2023-09-12
"Procurement and Sourcing Guidelines","RFQ and RFP process, vendor evaluation criteria, contract negotiation standards, and preferred supplier management program guidelines.","Finance","finance,process",178,admin@ekbms.com,approved,2023-09-28
"Internal Audit Preparation Guide","Preparing for internal audits including documentation requirements, control testing procedures, finding remediation, and audit report review process.","Finance","finance,process,policy",112,author@ekbms.com,approved,2023-10-12
"Cost Center Allocation and Management","Cost center structure, inter-company allocation methodology, recharge procedures, and monthly cost center review reconciliation process.","Finance","finance,process",98,author@ekbms.com,approved,2023-10-28
"Revenue Recognition Policy and Procedures","ASC 606 compliance guide, contract modification accounting, variable consideration estimation, and revenue deferral and acceleration rules.","Finance","finance,policy",145,admin@ekbms.com,approved,2023-11-12
"Foreign Currency and Exchange Rate Policy","Transaction currency management, functional currency determination, hedge accounting policy, and monthly FX revaluation procedures.","Finance","finance,policy,process",123,author@ekbms.com,approved,2023-11-28
"Corporate Credit Card Usage Policy","Credit card issuance criteria, spending limits by cardholder level, prohibited purchases, monthly reconciliation deadlines, and card cancellation procedures.","Finance","finance,policy,process",189,author@ekbms.com,approved,2023-12-12
"Purchase Order Creation and Approval Process","PO creation workflow, approval routing by spend threshold, change order procedures, PO closure process, and supplier communication standards.","Finance","finance,process",156,admin@ekbms.com,approved,2023-12-28
"Financial Year-End Closing Procedures","Comprehensive year-end close checklist, accrual cutoff procedures, intercompany elimination process, and external audit deliverable timeline.","Finance","finance,process,policy",178,author@ekbms.com,approved,2024-01-08
"Office Facilities Management Guide","Desk booking system usage, facilities request submission, meeting room etiquette, visitor management procedures, and office supply ordering.","Operations","process,policy",198,author@ekbms.com,approved,2023-06-08
"Supply Chain Optimization Procedures","Inventory optimization strategies, supplier lead time management, demand forecasting integration, and supply chain risk mitigation approaches.","Operations","process,network",167,admin@ekbms.com,approved,2023-06-20
"Quality Assurance and Testing Frameworks","QA methodology including test plan creation, defect tracking, regression testing cycles, and quality gate criteria for production releases.","Operations","process,technical",234,author@ekbms.com,approved,2023-07-08
"Customer Complaint Resolution Procedures","Complaint intake, classification, assignment, resolution timeline standards, escalation triggers, and customer satisfaction follow-up procedures.","Operations","process,policy",189,author@ekbms.com,approved,2023-07-20
"Strategic Vendor Relationship Management","Vendor performance scorecard methodology, quarterly business review agenda, strategic partnership criteria, and vendor risk assessment process.","Operations","process,policy",145,admin@ekbms.com,approved,2023-08-08
"Business Continuity and Crisis Management Plan","Crisis response team structure, communication cascade procedures, critical process recovery priorities, and post-incident review framework.","Operations","process,policy,security",267,author@ekbms.com,approved,2023-08-20
"Effective Meeting Management Guidelines","Meeting necessity checklist, agenda creation standards, facilitation techniques, action item tracking, and meeting-free day policies.","Operations","process,policy",312,author@ekbms.com,approved,2023-09-08
"Enterprise Document Management Policy","Document creation standards, naming conventions, version control procedures, retention schedules, and secure disposal requirements.","Operations","process,policy,security",198,admin@ekbms.com,approved,2023-09-20
"Enterprise Risk Management Framework","Risk identification methodology, risk rating matrix, mitigation strategy development, risk register maintenance, and board reporting requirements.","Operations","process,policy",234,author@ekbms.com,approved,2023-10-08
"Service Level Agreement Management Guide","SLA definition standards, metric tracking procedures, breach notification process, customer communication templates, and SLA review cadence.","Operations","process,policy",178,author@ekbms.com,approved,2023-10-20
"Organizational Change Management Process","Change management methodology covering stakeholder analysis, communication planning, training needs assessment, and adoption measurement.","Operations","process,training,policy",256,admin@ekbms.com,approved,2023-11-08
"IT and Operations Incident Management Guide","Incident classification, response team activation, war room procedures, customer communication standards, and post-mortem report requirements.","Operations","process,technical,security",289,author@ekbms.com,approved,2023-11-20
"Continuous Process Improvement Methodology","Lean and Six Sigma tools for process mapping, root cause analysis, improvement prioritization, and sustaining gains over time.","Operations","process,training",167,author@ekbms.com,approved,2023-12-08
"Facility Maintenance and Space Management","Preventive maintenance schedules, space utilization tracking, renovation request procedures, and facilities vendor management standards.","Operations","process,policy",134,admin@ekbms.com,approved,2023-12-20
"Corporate Event Planning and Logistics","End-to-end event planning guide covering venue selection, catering management, AV requirements, attendee communications, and budget tracking.","Operations","process,policy",189,author@ekbms.com,approved,2024-01-02
"Internal Communications Plan Template","Framework for drafting internal announcements, all-hands preparation, intranet content governance, and employee newsletter editorial calendar.","Operations","process,policy",145,author@ekbms.com,approved,2024-01-12
"Stakeholder Engagement and Management Strategy","Stakeholder mapping methodology, engagement frequency matrix, escalation handling, and building consensus across cross-functional groups.","Operations","process,policy",178,admin@ekbms.com,approved,2024-01-20
